0,1,25
0,1,17
0,0,13
0,0,14
0,0,9
0,1,17
0,0,7
0,1,10
0,0,18
0,0,28
0,0,46
0,0,30
0,1,42
0,1,123
0,1,21
0,0,46
0,1,11
0,0,35
0,1,86
0,0,27
0,1,40
0,1,66
0,1,13
0,0,27
0,1,14
0,0,26
0,0,18
0,0,16
0,0,30
0,0,35
0,1,23
0,0,12
0,0,11
0,0,28
0,0,19
0,0,11
0,0,30
0,1,21
0,0,40
0,0,60
0,0,28
0,1,13
0,1,12
0,1,25
0,0,42
0,1,12
0,0,22
0,1,19
0,0,40
0,1,10
0,0,12
0,1,62
0,0,45
0,0,30
0,0,60
0,1,11
0,0,28
0,0,15
0,1,15
0,0,20
0,0,32
0,0,20
0,0,30
0,0,16
0,0,50
0,1,20
0,1,6
0,1,20
0,0,9
0,0,35
0,0,23
0,0,40
0,1,18
0,0,18
0,0,30
0,1,7
0,1,15
0,0,35
0,1,25
0,0,35
0,1,15
0,1,15
0,1,18
0,1,13
0,0,28
0,0,35
0,0,65
0,1,18
0,0,9
0,1,16
0,1,17
0,1,12
0,1,16
0,0,12
0,0,30
0,0,21
0,0,20
0,1,15
0,1,30
0,0,40
0,0,35
0,0,32
0,0,29
0,1,18
0,1,12
0,0,38
0,1,22
0,1,17
0,0,17
0,0,12
0,1,36
0,1,19
0,1,20
0,1,10
0,1,8
0,1,12
0,1,17
0,0,10
0,0,8
0,1,11
0,0,50
0,1,12
0,1,15
0,0,15
0,0,60
0,0,85
0,1,16
0,1,11
0,0,9
0,0,15
0,0,15
0,0,18
0,1,10
0,0,6
0,1,13
0,0,30
0,1,18
0,1,10
0,1,28
0,1,26
0,0,20
0,0,30
0,0,18
0,0,24
0,0,20
0,0,22
0,1,35
0,1,18
0,1,24
0,1,20
0,0,35
0,0,66
0,0,60
0,0,20
0,0,47
0,0,15
0,1,13
0,0,12
0,1,13
0,0,19
0,1,20
0,0,25
0,0,15
0,1,16
0,0,18
0,0,40
0,1,20
0,0,52
0,0,38
0,0,45
0,0,8
0,0,19
0,0,9
0,0,15
0,1,22
0,1,6
0,1,9
0,0,87
0,0,9
0,1,13
0,0,16
0,0,9
0,1,9
0,0,6
0,0,9
0,0,11
0,0,19
0,0,30
0,0,16
0,0,19
0,0,15
0,1,15
0,1,11
0,1,10
0,0,29
0,0,20
0,1,15
0,1,11
0,0,60
0,1,15
0,0,20
0,1,11
0,1,10
0,0,18
0,1,21
0,1,16
0,0,20
0,0,20
0,1,11
0,0,60
0,0,16
0,0,20
0,0,28
0,0,12
0,0,14
0,1,11
0,1,20
0,1,12
0,0,40
0,0,40
0,0,9
0,1,8
0,0,30
0,1,27
0,1,12
0,0,25
0,0,6
0,1,18
0,1,11
0,0,10
0,1,9
0,1,6
0,0,18
0,0,40
0,1,29
0,0,17
0,0,17
0,0,24
0,1,18
0,1,11
0,0,13
0,1,15
0,1,12
0,1,15
0,0,16
0,0,20
0,1,9
0,0,45
0,1,55
0,0,36
0,0,30
0,0,50
0,1,11
0,0,25
0,1,28
0,0,12
0,0,47
0,0,9
0,0,9
0,1,28
0,1,11
0,0,20
0,1,11
0,1,42
0,1,22
0,0,30
0,1,30
0,0,22
0,1,13
0,1,10
0,1,30
0,0,28
0,1,10
0,0,50
0,1,8
0,0,34
0,1,14
0,0,30
0,0,17
0,0,13
0,1,20
0,1,22
0,0,13
0,1,20
0,1,12
0,0,14
0,0,13
0,0,9
0,0,15
0,0,40
0,1,42
0,0,40
0,1,10
0,0,22
0,0,65
0,1,15
0,0,18
0,1,13
0,0,37
0,1,42
0,1,22
0,0,27
0,0,20
0,0,50
0,0,24
0,0,20
0,0,25
0,1,14
0,0,22
0,1,45
0,1,14
0,1,15
0,0,17
0,0,14
0,0,24
0,0,25
0,0,70
0,0,10
0,0,15
0,0,20
0,1,15
0,0,20
0,1,22
0,0,50
0,0,11
0,0,40
0,0,45
0,0,36
0,1,15
0,0,18
0,1,15
0,0,10
0,1,22
0,1,20
0,0,22
0,1,16
0,1,19
0,1,14
0,0,18
0,0,26
0,1,9
0,0,12
0,1,36
0,1,20
0,0,28
0,0,23
0,0,25
0,0,19
0,0,20
0,1,62
0,0,11
0,1,10
0,0,11
0,0,15
0,0,11
0,0,40
0,0,12
0,0,9
0,0,17
0,1,13
0,0,48
0,1,20
0,1,12
0,0,20
0,1,35
0,0,33
0,0,16
0,1,14
0,0,20
0,0,12
0,1,25
0,1,15
0,1,18
0,0,36
0,1,12
0,0,25
0,0,12
0,1,22
0,1,18
0,1,10
0,1,10
0,1,15
0,1,11
0,0,15
0,1,15
0,1,12
0,1,16
0,1,21
0,0,9
0,1,12
0,0,21
0,0,22
0,0,13
0,0,10
0,0,55
0,1,27
0,1,16
0,1,28
0,0,50
0,0,50
0,1,16
0,1,12
0,0,22
0,0,20
0,0,13
0,0,15
0,0,20
0,0,14
0,0,13
0,0,19
0,0,25
0,1,39
0,0,19
0,0,45
0,1,14
0,0,38
0,0,20
0,0,50
0,0,21
0,0,17
0,1,10
0,0,34
0,0,32
0,0,20
0,1,22
0,1,24
0,0,18
0,1,17
0,1,13
0,0,13
0,0,16
0,1,12
0,0,26
0,1,25
0,0,17
0,1,20
0,1,18
0,1,13
0,0,8
0,1,40
0,1,10
0,0,12
0,0,44
0,0,30
0,1,20
0,0,16
0,1,11
0,1,15
0,0,18
0,0,50
0,1,15
0,1,12
0,0,18
0,1,13
0,0,16
0,0,14
0,1,15
0,0,22
0,0,15
0,0,30
0,0,20
0,0,56
0,1,15
0,1,13
0,1,15
0,1,10
0,1,25
0,0,18
0,1,12
0,1,25
0,0,11
0,1,9
0,0,20
0,0,24
0,0,11
0,1,25
0,0,9
0,1,15
0,0,35
0,0,13
0,1,10
0,1,13
0,1,15
0,0,10
0,0,16
0,0,28
0,0,38
0,0,50
0,1,12
0,0,22
0,0,13
0,1,11
0,0,10
0,1,36
0,0,10
0,0,15
0,0,15
0,1,12
0,0,11
0,0,15
0,0,17
0,0,12
0,1,15
0,0,13
0,0,40
0,0,25
0,1,34
0,0,18
0,1,13
0,0,17
0,1,17
0,0,18
0,0,19
0,1,12
0,0,35
0,0,17
0,0,8
0,1,8
0,0,24
0,1,12
0,1,13
0,1,12
0,0,13
0,0,25
0,0,40
0,1,60
0,0,20
0,1,66
0,0,25
0,0,20
0,0,8
0,0,10
0,1,18
0,1,12
0,0,13
0,0,10
0,0,28
0,1,16
0,0,25
0,1,22
0,1,9
0,0,30
0,0,10
0,0,18
1,0,625
1,0,45
1,0,135
1,1,80
1,1,45
1,0,65
1,0,81
1,0,170
1,0,85
0,0,20
0,0,15
0,1,18
0,1,22
0,0,10
0,0,16
0,0,20
0,1,17
0,0,45
0,0,20
0,1,11
0,1,12
0,0,13
0,0,10
0,0,15
0,0,28
1,0,85
1,0,100
1,0,65
1,0,110
1,0,100
1,0,63
1,0,50
1,0,65
1,0,54
1,0,150
1,0,45
1,0,95
1,0,75
1,0,50
1,0,44
1,1,49
1,0,38
1,0,30
1,0,60
1,0,44
1,0,30
1,0,39
0,0,27
0,0,10
0,0,26
0,1,18
0,0,35
0,1,20
0,0,11
0,1,25
0,0,22
0,0,20
0,0,35
0,0,50
0,1,20
0,0,15
0,0,14
0,0,20
1,0,57
1,0,45
1,0,34
1,0,50
1,0,36
1,1,44
1,0,40
1,0,65
1,1,65
1,0,50
1,1,44
1,0,95
1,0,42
1,0,30
1,0,90
1,0,38
1,0,40
1,0,82
0,0,20
0,1,15
0,0,30
0,0,10
0,0,28
0,1,20
0,1,9
0,0,28
0,0,27
0,0,34
0,1,13
0,0,24
0,1,15
0,0,29
0,0,12
1,0,80
1,0,55
1,0,83
1,0,19
1,1,35
1,0,40
1,0,50
1,1,26
1,0,25
1,0,75
1,0,85
1,0,42
1,0,58
1,0,42
1,0,40
1,0,32
1,0,150
1,0,47
1,1,32
1,0,38
1,1,25
0,0,18
0,1,20
0,1,12
0,0,15
0,1,25
0,0,38
0,0,35
0,0,19
0,1,20
0,0,29
0,0,12
0,1,19
0,0,13
0,1,10
1,0,40
1,0,50
1,1,30
1,0,50
1,0,13
1,0,70
1,0,29
1,0,85
1,0,44
1,0,40
1,0,18
1,0,70
1,0,40
1,0,34
1,0,58
1,0,27
1,0,35
1,0,50
1,1,40
0,0,9
0,0,10
0,0,12
0,0,35
0,0,15
0,0,24
0,1,12
0,1,9
0,1,10
0,1,18
0,1,14
0,0,18
0,1,15
0,0,26
0,1,16
0,0,13
1,0,65
1,0,85
1,0,14
1,0,44
1,0,40
1,0,90
1,0,40
1,1,20
1,1,28
1,0,34
1,0,38
1,0,36
1,1,38
1,0,50
1,0,78
1,1,22
1,0,37
1,0,50
1,0,50
1,0,50
1,0,55
1,0,60
1,1,24
0,1,20
0,0,20
0,0,45
0,1,18
0,1,10
0,0,14
0,0,17
0,0,13
0,0,13
0,0,11
0,1,45
0,0,20
0,1,12
0,0,24
0,1,10
0,1,17
1,0,45
1,0,35
1,1,17
1,0,34
1,0,36
1,0,30
1,0,20
1,0,45
1,0,75
1,0,28
1,0,25
1,1,24
1,1,30
1,0,40
1,0,20
1,1,20
1,0,19
1,0,30
1,0,23
1,1,14
0,1,7
0,1,9
0,0,34
0,0,28
0,1,10
0,0,15
0,0,20
0,0,19
0,1,12
0,0,42
0,0,10
0,0,20
0,0,12
0,1,12
0,1,17
0,1,24
1,0,45
1,0,24
1,0,25
1,1,30
1,0,45
1,0,40
1,0,28
1,0,42
1,0,28
1,0,20
1,0,29
1,0,37
1,0,52
1,0,22
1,1,25
1,0,18
0,0,10
0,0,16
0,0,12
0,1,11
0,0,16
0,1,15
0,1,14
0,1,11
0,0,11
0,0,35
0,0,10
0,1,10
0,1,10
0,1,24
0,0,12
0,1,12
0,0,8
0,1,14
0,1,12
0,0,18
0,0,13
0,0,48
0,0,70
0,0,35
0,0,32
0,0,42
0,0,24
0,0,55
0,0,40
0,0,40
0,1,22
0,0,43
0,0,28
0,1,35
0,0,20
0,1,20
0,0,45
0,1,7
0,0,15
0,1,16
0,1,17
0,0,10
0,1,12
0,1,12
0,1,10
0,0,29
0,1,15
0,0,10
0,1,30
0,1,13
0,0,12
0,0,13
0,1,10
0,0,17
0,0,20
0,1,41
0,0,55
0,0,38
0,0,55
0,1,30
0,0,60
0,0,40
0,0,39
0,0,20
0,0,52
0,0,18
0,0,45
0,1,30
0,0,40
0,1,20
0,0,11
0,0,38
0,0,34
0,1,23
0,0,13
0,0,14
0,0,11
0,1,15
0,0,12
0,1,15
0,0,15
0,1,15
0,1,9
0,1,11
0,0,6
0,0,20
0,0,10
0,0,13
0,0,10
0,1,11
0,1,20
0,0,18
0,0,35
0,0,44
0,0,50
0,1,29
0,1,20
0,0,28
0,0,28
0,0,100
0,1,55
0,1,19
0,0,35
0,0,45
0,1,10
0,1,19
0,1,10
0,0,17
0,1,12
0,1,7
0,0,7
0,0,18
0,0,28
0,0,14
0,1,26
0,1,10
0,1,14
0,0,33
0,1,15
0,1,11
0,0,17
0,0,11
0,0,15
0,0,9
0,0,16
0,1,20
0,1,17
0,1,18
0,0,40
0,0,38
0,1,29
0,0,52
0,0,35
0,1,19
0,0,60
0,0,24
0,0,95
0,0,35
0,1,17
0,0,20
0,1,18
0,0,35
0,0,20
0,0,50
0,1,17
0,0,22
0,1,13
0,0,12
0,1,11
0,0,10
0,1,34
0,1,10
0,0,12
0,0,15
0,1,24
0,0,18
0,1,34
0,0,25
0,0,14
0,0,9
0,0,15
0,0,10
0,0,15
0,0,18
0,0,20
0,0,20
0,1,10
0,0,10
0,0,19
0,0,15
0,1,18
0,0,60
0,0,50
0,1,27
0,0,55
0,0,45
0,1,39
0,1,23
0,0,50
0,0,25
0,0,13
0,0,19
0,0,37
0,0,29
0,0,85
0,1,40
0,1,35
0,0,20
0,0,40
0,0,28
0,1,30
0,0,10
0,0,23
0,0,10
0,0,11
1,0,70
1,0,100
1,0,72
1,0,78
1,1,60
1,0,34
1,0,50
1,0,250
1,0,80
1,0,75
0,0,40
0,1,41
0,1,25
0,1,35
0,0,13
0,0,28
0,0,20
0,1,25
0,0,35
0,0,17
0,0,17
0,0,70
0,0,18
0,0,14
0,1,30
0,0,20
0,0,60
0,0,12
0,0,35
0,1,17
0,0,13
0,0,22
0,0,45
0,0,10
0,0,50
0,0,60
0,1,13
0,0,30
0,0,16
0,0,28
0,0,55
0,0,19
1,0,46
1,0,80
1,0,55
1,1,48
1,1,48
1,0,40
1,0,90
1,1,48
1,0,40
1,1,60
0,0,95
0,1,25
0,0,34
0,0,9
0,1,28
0,1,18
0,0,12
0,1,24
0,0,22
0,1,35
0,0,16
0,0,50
0,0,27
0,0,25
0,0,14
0,1,17
0,0,60
1,0,43
1,1,36
1,1,55
1,0,80
1,1,25
1,0,70
1,0,55
1,1,36
1,0,50
1,0,41
1,0,110
1,0,25
1,0,27
1,1,89
1,0,50
1,0,35
0,0,16
0,0,50
0,0,35
0,0,32
0,1,20
0,0,15
0,0,38
0,1,27
0,0,30
0,0,29
0,0,25
0,0,30
0,1,17
0,1,15
0,0,20
0,0,50
0,0,45
1,0,56
1,0,48
1,0,70
1,0,50
1,1,20
1,0,50
1,1,22
1,1,15
1,0,49
1,0,36
1,1,26
0,0,27
0,0,65
0,0,45
0,1,25
0,1,14
0,1,20
0,1,26
0,0,70
0,0,10
0,0,25
0,0,80
0,1,10
0,1,25
0,0,75
0,0,19
0,0,55
0,1,20
0,0,135
1,0,45
1,0,54
1,0,56
1,1,70
1,0,46
1,1,20
1,0,66
1,0,60
1,0,67
1,1,45
1,0,55
1,0,62
1,0,59
1,0,90
1,0,28
1,1,27
0,0,19
0,0,18
0,0,75
0,0,26
0,0,30
0,0,19
0,0,22
0,0,10
0,0,41
0,0,16
0,0,60
0,0,19
0,1,13
0,0,40
1,0,35
1,0,55
1,0,65
1,1,38
1,0,33
1,1,32
1,0,50
0,0,65
0,1,15
0,0,20
0,0,20
0,1,18
0,0,16
0,0,42
0,0,16
0,0,145
0,0,29
0,1,16
0,0,40
0,0,13
0,0,24
0,1,28
0,1,19
0,0,50
0,0,44
1,0,28
1,0,18
1,0,33
1,0,40
1,1,30
1,1,35
1,1,95
1,0,32
1,0,25
1,0,25
1,1,43
0,0,25
0,1,18
0,0,39
0,0,30
0,0,30
0,0,20
0,0,13
0,0,13
0,0,12
0,1,30
0,0,40
0,0,48
0,1,16
0,0,13
0,0,35
1,0,49
1,1,70
1,0,35
1,1,17
1,0,47
1,0,38
1,0,35
1,1,25
1,0,45
1,0,59
1,0,28
1,0,70
1,0,52
1,1,26
1,0,32
1,0,54
1,0,115
0,1,15
0,1,14
0,0,24
0,0,25
0,0,38
0,0,28
0,0,20
0,0,16
0,0,40
0,0,42
0,0,18
0,0,55
0,1,12
0,0,30
0,1,10
0,1,26
1,0,30
1,0,70
1,0,25
1,0,20
1,0,20
1,1,50
1,1,22
1,1,22
0,0,9
0,0,18
0,0,30
0,1,16
0,0,50
0,0,21
0,0,22
0,1,18
0,0,12
0,0,18
0,0,11
0,1,16
0,0,34
0,1,15
0,0,16
0,0,17
1,0,20
1,0,60
1,0,28
1,0,22
1,1,18
1,1,37
1,1,20
1,0,30
1,0,48
1,0,38
1,0,28
1,1,18
0,0,13
0,0,13
0,0,30
0,0,8
0,0,14
0,0,33
0,0,14
0,0,12
0,0,22
0,0,15
0,0,46
0,0,50
0,1,24
0,1,16
0,0,50
0,1,57
1,0,28
1,0,39
1,0,38
1,0,32
1,0,27
1,0,60
1,0,20
