0,0,12
0,0,23
0,0,13
0,0,35
0,0,15
0,0,50
0,0,20
0,0,30
0,0,25
0,0,39
0,0,60
0,0,80
0,0,65
0,0,50
0,0,55
0,0,25
0,0,25
1,0,59
1,0,150
1,0,85
1,0,95
1,0,85
1,0,79
1,0,78
1,0,105
1,0,60
1,0,86
1,0,39
1,0,96
1,0,38
1,0,60
0,0,25
0,0,55
0,0,28
0,0,30
0,0,24
0,0,25
0,0,38
0,0,17
0,0,27
0,0,45
0,0,28
0,0,34
1,0,29
1,0,35
1,0,33
1,0,63
1,0,55
1,0,66
1,0,45
1,0,32
1,0,45
1,0,48
1,0,80
1,0,65
1,0,45
1,0,49
1,0,35
0,0,16
0,0,14
0,0,20
0,0,13
0,0,20
0,0,33
0,0,60
0,0,19
0,0,60
0,0,22
0,0,17
0,0,14
0,0,22
0,0,13
0,0,24
0,0,30
0,0,12
0,0,16
0,0,8
0,0,48
0,0,26
0,0,17
0,0,62
0,0,42
0,0,45
0,0,30
0,0,23
0,0,19
0,0,77
0,0,31
0,0,28
0,0,45
0,0,46
0,0,60
0,0,32
0,0,25
0,0,22
0,0,15
0,0,35
0,0,13
0,0,15
0,0,75
0,0,22
0,0,37
0,0,55
0,0,40
0,0,54
0,0,17
0,0,100
0,0,25
0,0,45
0,0,97
0,0,20
0,0,42
0,0,19
0,0,19
0,0,12
0,0,16
0,0,13
0,0,16
0,0,100
0,0,15
0,0,19
0,0,28
0,0,29
0,0,55
0,0,14
0,0,25
0,0,20
0,0,42
0,0,18
0,0,14
0,0,10
0,0,30
0,0,14
1,0,48
1,0,40
1,0,75
1,0,55
1,0,150
1,0,179
1,0,55
1,0,60
1,0,65
1,0,99
1,0,75
1,0,185
1,0,55
1,0,45
1,0,35
1,0,65
0,0,10
0,0,11
0,0,50
0,0,12
0,0,40
0,0,28
0,0,50
0,0,30
0,0,94
0,0,13
0,0,50
0,0,22
0,0,22
0,0,18
1,0,90
1,0,29
1,0,65
1,0,45
1,0,48
1,0,45
1,0,33
1,0,75
1,0,34
1,0,45
1,0,63
1,0,31
1,0,60
0,0,47
0,0,22
0,0,45
0,0,40
0,0,45
0,0,30
0,0,45
0,0,44
0,0,35
0,0,34
0,0,19
0,0,50
0,0,19
0,0,47
0,0,22
0,0,22
0,0,24
0,0,28
0,0,65
0,0,38
0,0,24
0,0,45
0,0,29
0,0,40
0,0,20
0,0,42
0,0,19
0,0,32
0,0,24
0,0,65
0,0,27
0,0,55
0,0,20
0,0,30
0,0,9
0,0,38
0,0,16
0,0,26
0,0,35
0,0,30
0,0,14
0,0,45
0,0,19
0,0,25
0,0,19
0,0,32
0,0,32
0,0,65
0,0,36
0,0,52
0,0,135
0,0,16
0,0,42
0,0,22
0,0,59
0,0,23
0,0,17
0,0,93
0,0,47
0,0,18
0,0,24
0,0,20
0,0,125
0,0,18
0,0,17
0,0,195
0,0,47
0,0,7
0,0,30
0,0,35
0,0,35
0,0,13
0,0,18
0,0,39
0,0,16
0,0,40
0,0,12
0,0,10
0,0,18
0,0,20
0,0,24
0,0,30
0,0,15
0,0,80
0,0,25
0,0,22
0,0,23
0,0,34
0,0,9
0,0,50
0,0,30
0,0,25
0,0,35
0,0,35
0,0,22
1,0,55
1,0,75
1,0,60
1,0,40
1,0,70
1,0,26
1,0,40
1,0,60
1,0,58
1,0,32
0,0,24
0,0,65
0,0,27
0,0,55
0,0,30
0,0,25
0,0,30
0,0,29
0,0,10
0,0,13
0,0,14
0,0,16
0,0,42
0,0,28
0,0,38
0,0,40
0,0,35
0,0,42
0,0,25
1,0,24
1,0,58
1,0,34
1,0,80
1,0,82
1,0,55
1,0,50
1,0,31
1,0,125
1,0,300
1,0,59
1,0,58
0,0,10
0,0,28
0,0,17
0,0,27
0,0,27
0,0,40
0,0,34
0,0,30
0,0,20
0,0,62
0,0,29
0,0,33
0,0,23
0,0,25
0,0,22
0,0,23
0,0,34
0,0,9
0,0,50
0,0,30
0,0,25
0,0,35
0,0,35
0,0,22
0,0,51
0,0,45
0,0,13
0,0,14
0,0,18
0,0,22
0,0,45
0,0,12
0,0,15
0,0,16
0,0,22
0,0,20
0,0,40
0,0,48
0,0,26
0,0,18
0,0,20
0,0,22
0,0,18
0,0,45
0,0,29
0,0,17
0,0,85
0,0,24
0,0,60
0,0,16
0,0,25
0,0,37
0,0,45
0,0,18
0,0,40
0,0,15
0,0,10
0,0,40
0,0,28
0,0,17
1,0,70
1,0,84
1,0,65
1,0,135
1,0,32
1,0,20
1,0,65
1,0,65
1,0,40
1,0,48
1,0,100
1,0,55
1,0,60
1,0,45
1,0,110
0,0,98
0,0,28
0,0,38
0,0,30
0,0,35
0,0,16
0,0,13
1,0,45
1,0,42
1,0,40
1,0,40
1,0,55
1,0,59
1,0,58
1,0,50
1,0,38
1,0,35
1,0,50
1,0,34
1,0,65
1,0,49
0,0,30
0,0,30
0,0,30
0,0,19
0,0,27
0,0,15
0,0,30
0,0,25
0,0,23
0,0,30
0,0,19
0,0,19
0,0,29
0,0,52
0,0,28
0,0,17
0,0,20
0,0,30
0,0,38
0,0,45
0,0,15
0,0,48
0,0,15
0,0,27
0,0,40
0,0,12
0,0,22
0,0,14
0,0,16
0,0,36
0,0,25
0,0,42
0,0,8
0,0,12
0,0,12
0,0,22
0,0,15
0,0,33
0,0,75
0,0,25
0,0,38
0,0,42
0,0,30
0,0,11
0,0,39
0,0,24
0,0,8
0,0,26
0,0,35
0,0,29
0,0,39
0,0,25
0,0,39
0,0,42
0,0,15
0,0,28
0,0,25
0,0,25
0,0,65
0,0,14
0,0,25
0,0,38
0,0,38
0,0,42
0,0,45
0,0,45
0,0,30
0,0,36
0,0,49
0,0,28
0,0,30
0,0,10
0,0,32
0,0,7
0,0,26
0,0,11
0,0,15
0,0,28
0,0,60
0,0,18
0,0,35
0,0,15
0,0,49
0,0,10
0,0,27
0,0,32
0,0,20
0,0,50
0,0,22
1,0,55
1,0,45
1,0,40
1,0,450
1,0,58
1,0,85
1,0,54
1,0,65
1,0,40
1,0,140
1,0,75
1,0,50
1,0,30
1,0,40
1,0,110
0,0,13
0,0,19
0,0,30
0,0,38
0,0,30
0,0,19
0,0,46
0,0,18
0,0,14
0,0,21
0,0,35
0,0,33
0,0,30
0,0,25
0,0,30
0,0,23
0,0,20
0,0,23
0,0,35
0,0,28
0,0,19
0,0,21
0,0,25
0,0,27
0,0,65
0,0,35
0,0,25
0,0,16
0,0,34
0,0,29
0,0,13
0,0,24
0,0,25
0,0,18
0,0,13
0,0,15
0,0,18
0,0,26
0,0,11
0,0,15
0,0,38
0,0,28
0,0,16
0,0,65
0,0,18
0,0,26
0,0,35
0,0,19
0,0,60
0,0,40
0,0,50
0,0,39
0,0,28
0,0,12
0,0,30
0,0,13
0,0,15
0,0,19
0,0,9
0,0,32
0,0,50
0,0,32
0,0,40
0,0,15
0,0,49
0,0,10
0,0,31
0,0,12
0,0,13
0,0,13
0,0,12
1,0,60
1,0,58
1,0,37
1,0,150
1,0,38
1,0,18
1,0,45
1,0,45
1,0,40
1,0,30
1,0,60
1,0,140
1,0,55
1,0,40
1,0,55
1,0,60
1,0,45
1,0,40
1,0,64
1,0,19
1,0,45
1,0,30
1,0,53
1,0,39
1,0,65
0,0,13
0,0,25
0,0,15
0,0,75
0,0,28
0,0,30
0,0,32
0,0,19
0,0,18
0,0,46
0,0,16
0,0,17
0,0,28
0,0,19
0,0,60
0,0,23
0,0,50
0,0,40
0,0,35
0,0,53
0,0,40
0,0,36
0,0,17
0,0,20
0,0,16
0,0,70
0,0,25
0,0,40
0,0,36
0,0,55
0,0,45
0,0,13
0,0,15
0,0,13
0,0,14
0,0,18
0,0,60
0,0,79
0,0,27
0,0,35
0,0,18
0,0,18
0,0,14
0,0,32
0,0,20
0,0,18
0,0,5
0,0,17
1,0,240
1,0,90
1,0,115
0,0,18
0,0,14
0,0,17
0,0,28
0,0,16
0,0,40
0,0,58
0,0,21
0,0,19
0,0,30
0,0,8
0,0,23
0,0,55
0,0,50
0,0,22
0,0,27
0,0,13
0,0,10
0,0,10
0,0,35
0,0,30
0,0,39
0,0,55
0,0,12
0,0,28
0,0,12
0,0,11
0,0,75
0,0,13
0,0,15
0,0,13
1,0,85
1,0,28
1,0,30
1,0,45
1,0,27
1,0,45
1,0,60
1,0,50
1,0,30
1,0,50
1,0,59
1,0,50
1,0,64
1,0,20
1,0,54
1,0,29
1,0,28
1,0,60
1,0,35
1,0,50
1,0,66
1,0,42
1,0,62
1,0,50
1,0,45
1,0,32
1,0,55
1,0,45
1,0,35
1,0,65
0,0,60
0,0,55
0,0,32
0,0,18
0,0,27
0,0,13
0,0,25
0,0,48
0,0,18
0,0,20
0,0,25
0,0,25
0,0,17
0,0,32
0,0,14
0,0,56
0,0,17
0,0,20
0,0,22
0,0,20
0,0,10
0,0,30
0,0,25
0,0,18
0,0,25
0,0,20
0,0,48
0,0,22
0,0,22
0,0,23
0,0,8
1,0,225
1,0,90
1,0,300
1,0,180
1,0,170
1,0,200
1,0,97
1,0,50
1,0,33
1,0,85
1,0,85
1,0,34
1,0,257
1,0,52
0,0,25
0,0,82
0,0,40
0,0,15
0,0,70
0,0,20
0,0,46
0,0,65
0,0,75
0,0,24
0,0,20
0,0,150
0,0,22
0,0,26
0,0,42
0,0,27
0,0,23
0,0,40
0,0,72
0,0,11
0,0,65
0,0,13
0,0,19
0,0,15
0,0,40
0,0,13
0,0,34
0,0,28
0,0,45
1,0,20
1,0,35
1,0,65
1,0,72
1,0,55
1,0,30
1,0,32
1,0,25
1,0,25
1,0,34
1,0,48
1,0,40
1,0,35
1,0,45
1,0,46
0,0,15
0,0,15
0,0,10
0,0,40
0,0,26
0,0,25
0,0,40
0,0,24
0,0,50
0,0,40
0,0,60
0,0,45
0,0,45
0,0,40
0,0,18
0,0,38
0,0,35
1,0,125
1,0,60
1,0,55
1,0,26
1,0,52
1,0,59
1,0,45
1,0,149
1,0,60
1,0,44
1,0,48
1,0,44
0,0,50
0,0,30
0,0,25
0,0,36
0,0,14
0,0,30
0,0,40
0,0,45
0,0,10
0,0,25
0,0,15
0,0,12
0,0,26
0,0,55
0,0,50
0,0,22
0,0,70
0,0,20
0,0,46
0,0,65
0,0,75
0,0,50
0,0,80
0,0,50
0,0,88
0,0,12
0,0,30
0,0,22
0,0,55
0,0,25
0,0,45
0,0,24
0,0,35
0,0,25
0,0,12
0,0,55
0,0,26
0,0,18
0,0,55
0,0,17
0,0,32
0,0,8
0,0,60
0,0,14
0,0,22
0,0,25
0,0,26
0,0,21
0,0,50
0,0,40
0,0,25
0,0,15
1,0,89
1,0,60
1,0,100
1,0,294
1,0,195
1,0,45
1,0,130
1,0,65
1,0,175
1,0,27
1,0,166
1,0,45
1,0,100
1,0,70
1,0,226
0,0,38
0,0,35
0,0,20
0,0,20
0,0,24
0,0,13
0,0,65
0,0,14
0,0,19
0,0,12
0,0,35
0,0,14
0,0,35
0,0,23
0,0,23
0,0,36
0,0,8
0,0,17
0,0,11
0,0,25
0,0,31
0,0,19
1,0,15
1,0,35
1,0,22
1,0,38
1,0,70
1,0,27
1,0,19
1,0,40
1,0,25
1,0,55
1,0,20
1,0,25
0,0,18
0,0,25
0,0,12
0,0,24
0,0,12
0,0,40
0,0,65
0,0,8
0,0,14
0,0,20
0,0,12
0,0,26
0,0,13
0,0,24
0,0,35
0,0,15
0,0,10
0,0,25
0,0,15
0,0,27
1,0,60
1,0,90
1,0,48
1,0,125
1,0,40
1,0,36
1,0,60
1,0,35
1,0,49
1,0,30
1,0,80
1,0,40
0,0,48
0,0,30
0,0,39
0,0,17
0,0,25
0,0,48
0,0,45
0,0,39
0,0,30
0,0,21
0,0,30
0,0,20
0,0,15
0,0,15
0,0,39
0,0,42
0,0,24
0,0,17
0,0,52
0,0,28
0,0,15
0,0,40
0,0,32
0,0,29
0,0,26
0,0,30
0,0,125
0,0,30
0,0,14
0,0,10
0,0,15
0,0,17
0,0,23
0,0,27
0,0,20
0,0,30
0,0,30
0,0,21
0,0,17
0,0,19
0,0,56
0,0,44
0,0,29
0,0,29
0,0,11
0,0,12
0,0,30
0,0,15
0,0,9
0,0,35
0,0,11
1,0,40
1,0,35
1,0,35
1,0,30
1,0,32
1,0,38
1,0,64
1,0,60
1,0,38
1,0,16
1,0,37
1,0,55
1,0,48
1,0,65
1,0,48
1,0,45
1,0,48
1,0,25
1,0,128
1,0,48
1,0,280
1,0,85
1,0,50
1,0,25
1,0,90
1,0,32
1,0,280
1,0,740
1,0,90
1,0,60
1,0,28
1,0,75
0,0,9
0,0,25
0,0,27
0,0,29
0,0,15
0,0,12
0,0,17
0,0,23
0,0,18
0,0,9
0,0,15
0,0,35
0,0,13
0,0,36
0,0,13
0,0,14
0,0,9
1,0,45
1,0,25
1,0,45
1,0,135
1,0,32
1,0,55
1,0,25
1,0,75
1,0,65
1,0,38
1,0,90
1,0,40
1,0,85
1,0,42
1,0,40
1,0,50
1,0,39
0,0,24
0,0,32
0,0,20
0,0,16
0,0,55
0,0,23
0,0,13
0,0,21
0,0,18
0,0,25
0,0,17
0,0,42
0,0,19
0,0,50
0,0,28
0,0,15
0,0,49
0,0,85
0,0,15
0,0,14
0,0,40
0,0,45
0,0,16
0,0,14
0,0,8
0,0,70
0,0,50
0,0,60
0,0,48
0,0,14
0,0,22
0,0,36
0,0,12
0,0,50
0,0,22
0,0,14
0,0,25
0,0,50
0,0,30
0,0,15
0,0,19
0,0,36
0,0,45
0,0,29
0,0,10
0,0,65
1,0,25
1,0,55
1,0,65
1,0,40
1,0,55
1,0,25
1,0,48
1,0,65
1,0,34
1,0,30
1,0,56
1,0,72
0,0,20
0,0,10
0,0,33
0,0,34
0,0,70
0,0,27
0,0,26
0,0,35
0,0,47
0,0,17
0,0,13
0,0,13
0,0,36
0,0,10
0,0,13
0,0,10
0,0,30
0,0,14
0,0,10
0,0,18
0,0,19
0,0,15
0,0,14
0,0,12
0,0,25
0,0,20
0,0,60
1,0,85
1,0,70
1,0,32
1,0,100
1,0,60
1,0,31
1,0,105
1,0,391
1,0,60
1,0,100
1,0,82
1,0,42
1,0,50
1,0,100
1,0,24
1,0,100
0,0,20
0,0,40
0,0,25
0,0,25
0,0,32
0,0,23
0,0,20
0,0,17
0,0,45
0,0,30
0,0,75
0,0,30
0,0,22
1,0,60
1,0,75
1,0,89
1,0,64
1,0,60
1,0,45
1,0,25
1,0,47
1,0,55
1,0,65
1,0,55
1,0,38
1,0,55
1,0,65
1,0,62
1,0,65
1,0,40
1,0,55
1,0,72
1,0,60
1,0,58
1,0,48
1,0,30
1,0,17
1,0,37
1,0,20
1,0,23
1,0,48
1,0,75
1,0,46
1,0,80
1,0,35
0,0,60
0,0,14
0,0,30
0,0,15
0,0,12
0,0,19
0,0,30
0,0,23
0,0,28
0,0,13
0,0,19
0,0,12
0,0,20
0,0,20
0,0,40
0,0,45
0,0,9
0,0,12
0,0,11
0,0,20
0,0,12
0,0,15
0,0,17
0,0,8
0,0,11
0,0,12
1,0,150
1,0,50
1,0,25
1,0,40
1,0,42
1,0,60
1,0,80
1,0,57
1,0,48
1,0,58
0,0,20
0,0,15
0,0,16
0,0,40
0,0,28
0,0,28
0,0,75
0,0,65
0,0,16
0,0,40
0,0,13
0,0,15
0,0,15
0,0,18
0,0,25
0,0,18
0,0,29
0,0,29
0,0,13
0,0,10
0,0,18
0,0,13
0,0,25
0,0,18
0,0,60
0,0,23
0,0,15
0,0,30
0,0,35
0,0,28
0,0,26
0,0,36
0,0,25
0,0,11
0,0,55
0,0,40
0,0,16
0,0,10
0,0,13
0,0,17
0,0,38
0,0,29
0,0,35
0,0,14
0,0,15
0,0,14
0,0,23
0,0,38
0,0,22
0,0,48
0,0,22
0,0,11
0,0,7
0,0,20
0,0,18
0,0,39
0,0,28
0,0,13
0,0,19
0,0,13
0,0,11
0,0,15
0,0,17
0,0,16
0,0,20
0,0,10
0,0,11
0,0,14
0,0,40
0,0,45
0,0,9
0,0,90
0,0,42
0,0,13
0,0,20
0,0,19
0,0,15
0,0,13
0,0,13
1,0,42
1,0,42
1,0,27
1,0,49
1,0,29
1,0,30
1,0,24
1,0,16
1,0,32
1,0,39
1,0,42
1,0,85
1,0,65
0,0,20
0,0,19
0,0,40
0,0,19
0,0,15
0,0,72
0,0,48
0,0,40
0,0,14
0,0,26
0,0,12
0,0,10
0,0,13
0,0,7
0,0,22
0,0,30
1,0,80
1,0,50
1,0,75
1,0,42
1,0,19
1,0,44
1,0,70
1,0,40
1,0,50
1,0,28
1,0,15
0,0,65
0,0,38
0,0,14
0,0,22
0,0,20
0,0,18
0,0,54
0,0,16
0,0,15
0,0,10
0,0,28
0,0,18
0,0,11
0,0,20
0,0,45
0,0,11
0,0,55
0,0,45
0,0,20
0,0,13
0,0,12
0,0,36
0,0,30
0,0,11
0,0,9
0,0,15
0,0,8
0,0,42
0,0,10
0,0,12
0,0,13
0,0,15
0,0,13
0,0,32
0,0,24
0,0,20
0,0,11
0,0,10
0,0,15
0,0,39
0,0,24
0,0,10
0,0,23
0,0,25
0,0,25
0,0,18
0,0,28
0,0,22
0,0,21
0,0,42
0,0,15
0,0,18
0,0,50
0,0,28
0,0,35
0,0,16
0,0,17
0,0,40
0,0,19
0,0,20
0,0,20
0,0,20
0,0,15
0,0,18
0,0,17
0,0,30
0,0,20
0,0,79
0,0,22
0,0,17
0,0,31
0,0,35
0,0,42
0,0,39
0,0,22
0,0,68
0,0,40
0,0,40
0,0,13
0,0,11
0,0,12
0,0,18
0,0,13
0,0,24
0,0,165
0,0,12
0,0,12
0,0,13
0,0,12
1,0,46
0,0,15
0,0,48
0,0,65
0,0,35
0,0,20
0,0,65
0,0,95
0,0,80
0,0,32
0,0,22
0,0,25
0,0,40
0,0,75
0,0,65
0,0,75
0,0,18
0,0,24
0,0,48
0,0,27
0,0,17
0,0,15
0,0,12
0,0,20
0,0,35
0,0,21
0,0,12
0,0,23
0,0,25
0,0,40
0,0,25
0,0,10
0,0,10
0,0,14
1,0,69
1,0,75
1,0,315
1,0,52
1,0,312
1,0,75
1,0,44
1,0,24
1,0,50
1,0,31
1,0,145
1,0,35
1,0,60
1,0,51
1,0,50
1,0,38
1,0,30
1,0,30
1,0,60
1,0,123
1,0,25
1,0,32
1,0,140
1,0,28
0,0,13
0,0,12
0,0,23
0,0,16
0,0,19
0,0,30
0,0,13
0,0,25
0,0,20
0,0,32
0,0,20
0,0,65
0,0,67
0,0,20
0,0,20
0,0,15
0,0,36
0,0,18
0,0,80
0,0,20
0,0,150
0,0,79
0,0,17
0,0,14
0,0,45
0,0,30
0,0,60
0,0,20
0,0,24
0,0,22
0,0,12
0,0,22
0,0,25
0,0,18
0,0,20
0,0,11
0,0,21
0,0,20
0,0,16
0,0,11
0,0,20
0,0,11
0,0,7
0,0,12
0,0,14
0,0,20
0,0,60
0,0,50
0,0,29
0,0,13
0,0,10
0,0,20
0,0,34
0,0,40
0,0,17
0,0,34
0,0,27
0,0,12
0,0,20
0,0,35
0,0,30
0,0,15
0,0,19
0,0,8
0,0,11
0,0,13
0,0,22
0,0,22
0,0,42
0,0,34
0,0,29
0,0,45
0,0,24
0,0,30
0,0,22
0,0,39
0,0,36
0,0,35
0,0,30
0,0,65
0,0,42
0,0,25
0,0,13
0,0,18
0,0,45
0,0,26
0,0,25
0,0,60
0,0,25
1,0,185
1,0,75
1,0,52
1,0,50
1,0,312
1,0,50
1,0,40
1,0,40
1,0,54
1,0,55
1,0,49
1,0,312
1,0,55
1,0,25
1,0,32
1,0,68
1,0,42
1,0,20
1,0,30
1,0,40
1,0,79
1,0,24
1,0,42
1,0,30
0,0,65
0,0,30
0,0,45
0,0,18
0,0,75
0,0,32
0,0,38
0,0,26
0,0,65
0,0,29
0,0,15
0,0,20
0,0,12
0,0,17
0,0,42
0,0,25
0,0,38
0,0,13
0,0,19
0,0,36
0,0,18
0,0,24
0,0,20
0,0,150
0,0,79
0,0,32
0,0,60
0,0,15
0,0,32
0,0,15
0,0,38
0,0,12
0,0,120
0,0,38
0,0,36
0,0,60
0,0,55
0,0,15
0,0,20
0,0,15
0,0,25
0,0,20
0,0,32
0,0,15
0,0,15
0,0,20
0,0,25
0,0,18
0,0,22
0,0,35
0,0,55
0,0,19
0,0,16
0,0,25
0,0,32
1,0,95
1,0,82
0,0,30
0,0,16
0,0,15
1,0,450
1,0,125
1,0,130
1,0,27
1,0,57
1,0,70
1,0,40
1,0,57
1,0,32
1,0,59
1,0,65
1,0,54
1,0,130
1,0,50
1,0,150
0,0,38
0,0,26
0,0,32
0,0,65
0,0,29
0,0,38
0,0,29
0,0,13
0,0,55
0,0,59
0,0,75
0,0,45
0,0,22
0,0,40
0,0,50
0,0,40
0,0,60
0,0,80
0,0,10
1,0,100
1,0,100
1,0,125
1,0,50
1,0,60
1,0,60
1,0,65
1,0,99
1,0,90
0,0,45
0,0,13
0,0,14
0,0,17
0,0,19
0,0,16
0,0,11
0,0,22
0,0,19
1,0,42
1,0,98
1,0,49
1,0,50
1,0,100
1,0,99
1,0,39
1,0,40
1,0,90
1,0,35
1,0,75
1,0,39
1,0,54
1,0,40
1,0,70
1,0,79
1,0,29
1,0,60
1,0,36
1,0,50
1,0,85
1,0,38
1,0,110
1,0,50
1,0,39
1,0,20
1,0,39
0,0,22
0,0,25
0,0,65
0,0,19
0,0,30
0,0,8
0,0,52
0,0,55
0,0,50
0,0,39
0,0,40
0,0,16
0,0,10
0,0,8
0,0,24
1,0,175
1,0,65
1,0,75
1,0,80
1,0,42
1,0,90
1,0,52
1,0,70
1,0,75
1,0,55
1,0,100
1,0,80
1,0,100
1,0,63
1,0,75
1,0,54
1,0,115
1,0,29
1,0,106
1,0,28
1,0,48
1,0,23
0,0,16
0,0,21
0,0,22
0,0,22
0,0,16
0,0,68
0,0,22
0,0,25
0,0,45
0,0,38
0,0,34
0,0,25
1,0,84
1,0,80
1,0,100
1,0,60
1,0,100
1,0,58
1,0,90
1,0,110
0,0,120
0,0,22
0,0,25
0,0,40
0,0,35
0,0,42
0,0,52
0,0,20
0,0,60
0,0,20
0,0,72
0,0,27
0,0,50
0,0,55
0,0,38
0,0,20
0,0,16
0,0,22
0,0,48
0,0,17
0,0,26
0,0,45
0,0,52
0,0,56
0,0,20
0,0,17
0,0,64
0,0,12
0,0,12
0,0,7
0,0,9
0,0,30
0,0,13
0,0,26
0,0,14
0,0,13
0,0,55
0,0,28
1,0,60
1,0,50
1,0,36
1,0,46
1,0,60
1,0,78
1,0,124
1,0,35
1,0,48
1,0,54
1,0,45
1,0,55
1,0,42
1,0,20
1,0,60
1,0,42
1,0,92
1,0,54
1,0,25
1,0,22
1,0,25
1,0,60
1,0,112
1,0,24
1,0,140
1,0,42
1,0,25
1,0,52
1,0,40
1,0,48
1,0,35
1,0,20
1,0,45
1,0,28
0,0,20
0,0,14
0,0,30
0,0,80
0,0,25
0,0,14
0,0,30
0,0,32
0,0,15
1,0,75
1,0,70
1,0,95
1,0,56
0,0,13
0,0,22
0,0,13
0,0,28
0,0,35
0,0,16
0,0,13
0,0,18
0,0,15
0,0,25
0,0,15
0,0,20
0,0,45
0,0,19
1,0,44
1,0,100
1,0,52
1,0,90
1,0,79
1,0,40
1,0,16
1,0,20
1,0,55
1,0,25
1,0,36
1,0,59
1,0,95
1,0,110
1,0,65
1,0,45
1,0,60
1,0,75
1,0,43
1,0,48
1,0,55
1,0,140
1,0,38
1,0,43
0,0,20
0,0,38
0,0,33
0,0,30
0,0,22
0,0,30
0,0,35
0,0,35
0,0,25
0,0,30
0,0,80
0,0,30
0,0,17
0,0,45
0,0,35
0,0,48
0,0,28
0,0,16
0,0,14
0,0,10
0,0,28
0,0,13
0,0,18
0,0,15
0,0,10
0,0,40
0,0,32
0,0,30
0,0,25
1,0,50
1,0,68
1,0,60
1,0,35
1,0,45
1,0,32
1,0,65
1,0,86
1,0,55
1,0,82
1,0,84
1,0,50
1,0,52
1,0,100
1,0,101
1,0,85
1,0,55
1,0,35
1,0,16
1,0,32
1,0,32
1,0,70
1,0,22
1,0,29
0,0,10
0,0,36
0,0,40
0,0,14
0,0,25
0,0,100
0,0,12
0,0,15
0,0,17
0,0,28
0,0,16
0,0,42
1,0,60
1,0,75
1,0,65
1,0,100
1,0,70
1,0,70
0,0,17
0,0,10
0,0,40
0,0,21
0,0,12
0,0,29
0,0,40
0,0,34
0,0,45
0,0,18
1,0,34
1,0,65
1,0,18
1,0,48
1,0,20
1,0,135
1,0,35
1,0,36
1,0,65
1,0,100
1,0,70
1,0,55
1,0,50
1,0,59
1,0,150
1,0,18
1,0,22
1,0,42
0,0,48
0,0,35
0,0,19
0,0,35
0,0,40
0,0,19
0,0,62
0,0,39
0,0,28
0,0,12
0,0,20
0,0,22
0,0,33
0,0,12
1,0,60
1,0,58
1,0,105
1,0,70
1,0,65
1,0,65
1,0,86
1,0,125
1,0,60
1,0,99
1,0,62
1,0,85
1,0,90
0,0,45
0,0,40
0,0,49
0,0,15
0,0,26
0,0,23
0,0,55
0,0,25
0,0,22
0,0,18
0,0,79
0,0,44
0,0,69
0,0,7
0,0,15
0,0,12
0,0,17
0,0,11
0,0,9
0,0,10
1,0,468
1,0,639
1,0,288
1,0,150
1,0,281
1,0,357
1,0,208
1,0,45
1,0,82
1,0,307
1,0,45
1,0,82
1,0,36
1,0,60
1,0,99
1,0,25
1,0,27
1,0,40
1,0,60
1,0,22
1,0,48
1,0,100
1,0,48
1,0,60
1,0,45
1,0,32
1,0,75
1,0,35
1,0,50
1,0,17
1,0,45
1,0,62
1,0,25
1,0,29
0,0,15
0,0,14
0,0,16
0,0,50
0,0,17
0,0,45
0,0,26
0,0,19
0,0,28
0,0,10
1,0,70
1,0,47
1,0,65
1,0,44
1,0,48
1,0,65
1,0,30
0,0,21
0,0,15
0,0,15
0,0,30
0,0,24
0,0,12
0,0,14
0,0,35
0,0,15
0,0,13
0,0,34
0,0,15
0,0,34
1,0,55
1,0,55
1,0,45
1,0,21
1,0,29
1,0,48
1,0,15
1,0,66
1,0,39
1,0,40
1,0,59
1,0,48
1,0,59
1,0,59
0,0,55
0,0,55
0,0,65
0,0,20
0,0,38
0,0,48
0,0,20
1,0,110
1,0,64
1,0,30
1,0,65
1,0,70
1,0,65
1,0,69
1,0,48
1,0,85
1,0,50
1,0,90
1,0,50
0,0,16
0,0,29
0,0,35
0,0,35
0,0,58
0,0,17
0,0,32
0,0,75
0,0,65
0,0,45
0,0,56
0,0,28
0,0,22
1,0,48
1,0,168
1,0,50
1,0,70
1,0,135
1,0,200
1,0,60
1,0,93
1,0,62
1,0,62
1,0,80
1,0,40
1,0,88
1,0,60
1,0,39
1,0,60
1,0,62
1,0,117
1,0,70
0,0,38
0,0,48
0,0,20
0,0,28
0,0,25
0,0,48
1,0,55
1,0,36
1,0,50
1,0,48
1,0,100
1,0,38
1,0,45
1,0,34
1,0,42
1,0,64
1,0,35
1,0,24
1,0,40
1,0,31
1,0,60
1,0,30
1,0,40
1,0,27
0,0,50
0,0,50
0,0,25
0,0,25
0,0,22
0,0,80
0,0,27
0,0,30
0,0,49
0,0,25
0,0,40
0,0,15
0,0,16
0,0,17
0,0,65
0,0,90
0,0,32
0,0,45
0,0,56
0,0,36
0,0,25
0,0,65
0,0,42
0,0,49
0,0,110
0,0,35
0,0,16
0,0,29
0,0,45
0,0,35
0,0,20
0,0,25
0,0,10
0,0,27
0,0,10
0,0,14
0,0,15
0,0,45
0,0,18
0,0,42
0,0,10
0,0,30
0,0,50
0,0,35
1,0,75
1,0,50
1,0,58
1,0,75
1,0,45
1,0,65
1,0,76
1,0,90
1,0,50
1,0,27
1,0,110
1,0,30
1,0,60
1,0,150
1,0,70
1,0,45
1,0,65
1,0,100
1,0,45
1,0,30
1,0,135
1,0,50
